%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.Temp,field.Pressure
1474303345588730644,4407,1474307066216381111,LLA,-0.1376,0.4171,0.6955,-0.841,-1.627,-9.476,0.007428,-0.00628,0.002986,42.0999984741,97.0130004883
1474303345610777962,4408,1474307066241826979,LLA,-0.1425,0.4172,0.688,-0.857,-1.623,-9.483,0.006899,-0.01233,0.002605,42.0999984741,97.0159988403
1474303345661282170,4409,1474307066267312028,LLA,-0.1389,0.4126,0.6867,-0.901,-1.595,-9.511,0.007546,-0.019488,0.003721,42.0999984741,97.0159988403
1474303345668037001,4410,1474307066292817343,LLA,-0.1376,0.4148,0.6905,-0.885,-1.591,-9.48,0.008327,-0.019014,0.004276,42.0999984741,97.0130004883
1474303345735961269,4411,1474307066318295190,LLA,-0.14,0.4206,0.6895,-0.827,-1.612,-9.492,0.006353,-0.015563,0.00484,42.0999984741,97.0289993286
1474303345739083795,4412,1474307066343765963,LLA,-0.1351,0.4171,0.6956,-0.797,-1.582,-9.46,0.004018,-0.008933,0.005452,42.0999984741,97.0199966431
1474303345739150751,4413,1474307066369275893,LLA,-0.1388,0.4172,0.6894,-0.827,-1.655,-9.437,-0.004076,-0.006551,0.009544,42.0999984741,97.0159988403
1474303345757780638,4414,1474307066389690120,LLA,-0.1389,0.4149,0.6917,-0.796,-1.617,-9.454,-0.007561,-0.003383,0.007884,42.0999984741,97.0130004883
1474303345783181579,4415,1474307066415153404,LLA,-0.1339,0.4148,0.6943,-0.813,-1.585,-9.477,-0.011511,-0.003764,0.008636,42.0999984741,97.0039978027
1474303345808756178,4416,1474307066440704706,LLA,-0.1388,0.4172,0.6918,-0.808,-1.569,-9.517,-0.009195,-0.002996,0.006581,42.0999984741,97.0159988403
1474303345874273808,4417,1474307066466160511,LLA,-0.14,0.4172,0.6881,-0.793,-1.603,-9.505,-0.000182,-0.004252,0.000968,42.0999984741,97.0039978027
1474303345881096670,4418,1474307066491677166,LLA,-0.1401,0.4137,0.6905,-0.819,-1.57,-9.472,0.001459,-0.002858,-0.004833,42.0999984741,97.0199966431
1474303345884385479,4419,1474307066517206231,LLA,-0.1401,0.4149,0.688,-0.812,-1.576,-9.478,0.002096,-0.003541,-0.007007,42.0999984741,97.0159988403
1474303345912116875,4420,1474307066542680005,LLA,-0.1363,0.4171,0.6931,-0.793,-1.625,-9.466,0.001946,0.000467,-0.007926,42.0999984741,97.0039978027
1474303345934210839,4421,1474307066568203011,LLA,-0.1388,0.4183,0.6894,-0.827,-1.594,-9.471,0.003064,0.005372,-0.008738,42.0999984741,97.0159988403
1474303345961901815,4422,1474307066593714482,LLA,-0.1364,0.4137,0.6905,-0.819,-1.624,-9.501,0.002461,0.00707,-0.009744,42.0999984741,97.0159988403
1474303345987245455,4423,1474307066619218896,LLA,-0.1413,0.416,0.6856,-0.819,-1.599,-9.544,-0.001085,0.011618,-0.010642,42.0999984741,97.0199966431
1474303346012747172,4424,1474307066644704569,LLA,-0.1402,0.4126,0.6855,-0.824,-1.595,-9.484,-0.000756,0.011131,-0.009908,42.0999984741,97.0199966431
1474303346087286644,4425,1474307066670186063,LLA,-0.1426,0.4149,0.6905,-0.813,-1.65,-9.489,-0.002391,0.008006,-0.007846,42.0999984741,97.0199966431
1474303346090565215,4426,1474307066695725440,LLA,-0.1363,0.4172,0.6895,-0.761,-1.579,-9.48,-0.004709,0.004939,-0.006531,42.0999984741,97.0039978027
1474303346090627582,4427,1474307066721195244,LLA,-0.1376,0.416,0.6894,-0.779,-1.57,-9.48,-0.000897,0.002446,-0.00368,42.0999984741,97.0199966431
1474303346115051755,4428,1474307066746661247,LLA,-0.14,0.4172,0.6918,-0.826,-1.563,-9.461,-0.002039,0.00279,-0.004547,42.0999984741,97.0080032349
1474303346141766280,4429,1474307066772265307,LLA,-0.1376,0.4149,0.6869,-0.855,-1.57,-9.49,-0.005227,0.008672,-0.004875,42.0999984741,97.0199966431
1474303346166318989,4430,1474307066797848029,LLA,-0.1413,0.4149,0.6917,-0.841,-1.553,-9.502,-0.004452,0.020807,-0.006234,42.0999984741,97.0080032349
1474303346191633305,4431,1474307066823429830,LLA,-0.1389,0.4149,0.6869,-0.855,-1.551,-9.525,-0.003616,0.032369,-0.011655,42.0999984741,97.0240020752
1474303346217229694,4432,1474307066849086909,LLA,-0.1389,0.4149,0.693,-0.903,-1.534,-9.551,-0.003738,0.037897,-0.007418,42.0999984741,97.0199966431
1474303346240926452,4433,1474307066874685558,LLA,-0.1389,0.4149,0.6881,-0.847,-1.5,-9.513,-0.019855,0.0377,0.007042,42.0999984741,97.0080032349
1474303346343148889,4434,1474307066900385050,LLA,-0.1389,0.4137,0.6918,-0.845,-1.442,-9.559,-0.032386,0.019512,0.025591,42.0999984741,97.0110015869
1474303346343212204,4435,1474307066925914996,LLA,-0.1413,0.4183,0.6882,-0.911,-1.431,-9.641,-0.042255,0.004049,0.042862,42.0999984741,97.0240020752
1474303346343237511,4436,1474307066951565735,LLA,-0.1426,0.4126,0.688,-0.754,-1.393,-9.669,-0.052661,-0.014366,0.059463,42.0999984741,97.0240020752
1474303346348730321,4437,1474307066977098978,LLA,-0.1389,0.4137,0.693,-0.691,-1.484,-10.018,-0.07062,-0.050435,0.082486,42.0999984741,97.0110015869
1474303346370885864,4438,1474307067002706453,LLA,-0.1339,0.416,0.6944,-0.846,-1.443,-10.08,-0.11104,-0.093148,0.105872,42.0999984741,97.0110015869
1474303346396318457,4439,1474307067028313612,LLA,-0.1327,0.4149,0.6969,-1.347,-1.206,-9.531,-0.120775,-0.178531,0.126778,42.0999984741,97.0240020752
1474303346421793463,4440,1474307067053767441,LLA,-0.1327,0.4126,0.6919,-1.478,-1.062,-9.259,-0.098688,-0.245652,0.126307,42.0999984741,97.0110015869
1474303346445896973,4441,1474307067079196794,LLA,-0.1291,0.4068,0.6954,-1.826,-1.109,-9.246,-0.072479,-0.262668,0.119781,42.0999984741,97.0110015869
1474303346484226169,4442,1474307067104674521,LLA,-0.1352,0.4114,0.6955,-2.016,-1.207,-9.176,-0.044702,-0.203539,0.098948,42.0999984741,97.0110015869
1474303346497576241,4443,1474307067130082859,LLA,-0.129,0.4114,0.6969,-2.068,-1.248,-9.195,0.004415,-0.134649,0.070352,42.0999984741,97.0240020752
