%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.Temp,field.Pressure
1474076237057261078,4124,1474079910051416933,LLA,-0.2448,0.3044,0.7668,-0.091,-3.477,-8.962,0.002155,-0.005429,-0.006526,25.3999996185,96.8460006714
1474076237077550282,4125,1474079910071768058,LLA,-0.2508,0.2969,0.7629,-0.094,-3.47,-8.963,0.003174,-0.00645,-0.006915,25.3999996185,96.8499984741
1474076237103098736,4126,1474079910097198697,LLA,-0.246,0.3034,0.7644,-0.08,-3.468,-8.974,0.002924,-0.005848,-0.005398,25.3999996185,96.858001709
1474076237127353766,4127,1474079910122575335,LLA,-0.2486,0.2925,0.7594,-0.099,-3.463,-8.966,0.002519,-0.005419,-0.007478,25.3999996185,96.858001709
1474076237154254248,4128,1474079910148030749,LLA,-0.2448,0.3044,0.7656,-0.113,-3.456,-9.001,0.002241,-0.004586,-0.007312,25.3999996185,96.8710021973
1474076237179417775,4129,1474079910173526775,LLA,-0.2486,0.2925,0.7605,-0.094,-3.455,-9.01,0.004376,-0.005697,-0.006456,25.3999996185,96.858001709
1474076237204902196,4130,1474079910199020489,LLA,-0.2471,0.3045,0.7633,-0.11,-3.464,-9.0,0.003087,-0.005077,-0.006855,25.3999996185,96.858001709
1474076237229712038,4131,1474079910224536324,LLA,-0.2486,0.2936,0.7594,-0.089,-3.452,-8.979,0.001997,-0.007171,-0.00633,25.3999996185,96.8499984741
1474076237256057046,4132,1474079910250005756,LLA,-0.2449,0.3012,0.7644,-0.082,-3.452,-8.972,0.001957,-0.007012,-0.007671,25.3999996185,96.858001709
1474076237281438650,4133,1474079910275499497,LLA,-0.2497,0.2947,0.7617,-0.069,-3.452,-8.999,0.00331,-0.005176,-0.005975,25.3999996185,96.858001709
1474076237306992190,4134,1474079910300956529,LLA,-0.2437,0.3012,0.7678,-0.084,-3.486,-8.983,0.001577,-0.005004,-0.005906,25.3999996185,96.858001709
1474076237333884409,4135,1474079910326458047,LLA,-0.2462,0.2958,0.7595,-0.075,-3.464,-8.978,0.002502,-0.004975,-0.005332,25.3999996185,96.8460006714
1474076237357930539,4136,1474079910351958717,LLA,-0.2473,0.2979,0.7642,-0.089,-3.462,-8.995,0.001338,-0.004966,-0.006314,25.3999996185,96.8619995117
1474076237383452787,4137,1474079910377462691,LLA,-0.2461,0.2968,0.7619,-0.092,-3.45,-8.998,0.003523,-0.004154,-0.005146,25.3999996185,96.8460006714
1474076237410823556,4138,1474079910402965990,LLA,-0.2473,0.2979,0.7665,-0.077,-3.46,-8.966,0.002595,-0.006165,-0.006399,25.3999996185,96.8460006714
1474076237434521177,4139,1474079910428462113,LLA,-0.2472,0.3012,0.7655,-0.074,-3.454,-9.017,0.003276,-0.004905,-0.00692,25.3999996185,96.8460006714
1474076237459956354,4140,1474079910453994401,LLA,-0.2497,0.2936,0.7652,-0.066,-3.449,-8.984,0.003224,-0.006368,-0.007142,25.3999996185,96.8499984741
1474076237485541983,4141,1474079910479446436,LLA,-0.246,0.3023,0.7655,-0.07,-3.444,-8.984,0.001503,-0.005305,-0.006303,25.3999996185,96.8619995117
1474076237510942367,4142,1474079910505012752,LLA,-0.2474,0.2925,0.764,-0.095,-3.459,-8.978,0.002382,-0.006537,-0.006234,25.3999996185,96.8460006714
1474076237531117889,4143,1474079910525409531,LLA,-0.2474,0.2947,0.7606,-0.097,-3.469,-8.952,0.002621,-0.006389,-0.006503,25.3999996185,96.8619995117
1474076237556864339,4144,1474079910550943730,LLA,-0.2461,0.2979,0.7665,-0.073,-3.485,-8.991,0.002418,-0.006401,-0.004997,25.3999996185,96.8460006714
1474076237584839018,4145,1474079910576419136,LLA,-0.2461,0.299,0.762,-0.082,-3.444,-8.981,0.002556,-0.006059,-0.006439,25.3999996185,96.858001709
1474076237607738856,4146,1474079910601948742,LLA,-0.2474,0.2947,0.7664,-0.078,-3.441,-8.992,0.002635,-0.005929,-0.006109,25.3999996185,96.858001709
1474076237632850139,4147,1474079910627440082,LLA,-0.2461,0.2968,0.7653,-0.116,-3.456,-8.986,0.001509,-0.005768,-0.005698,25.3999996185,96.8460006714
1474076237659792962,4148,1474079910652961858,LLA,-0.2475,0.2903,0.7662,-0.092,-3.467,-8.974,0.003165,-0.005817,-0.006463,25.3999996185,96.858001709
1474076237684007983,4149,1474079910678450570,LLA,-0.2461,0.3001,0.7655,-0.067,-3.443,-8.983,0.002333,-0.006046,-0.006465,25.3999996185,96.858001709
1474076237709538253,4150,1474079910703982402,LLA,-0.2498,0.2903,0.7627,-0.09,-3.46,-8.964,0.002717,-0.006477,-0.007221,25.3999996185,96.8460006714
1474076237734892688,4151,1474079910729461105,LLA,-0.2437,0.3012,0.7679,-0.096,-3.48,-8.98,0.000398,-0.00533,-0.00684,25.3999996185,96.858001709
1474076237760538412,4152,1474079910754984598,LLA,-0.2499,0.2882,0.7638,-0.087,-3.444,-8.994,0.002297,-0.004006,-0.007154,25.3999996185,96.858001709
1474076237805690375,4153,1474079910780481794,LLA,-0.2461,0.299,0.7689,-0.096,-3.475,-8.969,0.003244,-0.006114,-0.006203,25.3999996185,96.858001709
1474076237811418623,4154,1474079910806117515,LLA,-0.2463,0.2914,0.764,-0.096,-3.451,-8.979,0.003193,-0.005608,-0.005282,25.3999996185,96.858001709
1474076237835750718,4155,1474079910831590444,LLA,-0.2425,0.3001,0.7713,-0.098,-3.471,-8.976,0.002556,-0.005411,-0.006513,25.3999996185,96.8619995117
1474076237870656078,4156,1474079910857058293,LLA,-0.2511,0.286,0.7625,-0.098,-3.464,-8.976,0.002027,-0.005268,-0.006114,25.3999996185,96.8460006714
1474076237888075526,4157,1474079910882578065,LLA,-0.2473,0.2979,0.7688,-0.078,-3.483,-8.968,0.002546,-0.004747,-0.006947,25.3999996185,96.858001709
